date,content,source,url
2020-03-20,พบผู้ติดเชื้อจำนวนมากเชื่อมโยงกับพื้นที่สนามมวยลุมพินี สนามมวยราชดำเนินและสถานบันเทิงในกรุงเทพฯ,BBC,https://www.bbc.com/thai/thailand-51971280
2020-07-13,เกิดกรณี VIP ชาวต่างชาติไม่ได้ปฏิบัติตามมาตรฐานการกักตัวและมาตรวจพบเชื้อโควิด-19 ในภายหลัง ได้แก่เด็กหญิงอายุ 9 ปีจากแอฟริกาที่เดินทางมาพร้อมครอบครัวคณะทูต และกลุ่มทหารอียิปต์,The Bangkok Insight,https://www.thebangkokinsight.com/news/politics-general/social/394387/
2021-04-07,พบการติดเชื้ออย่างรวดเร็วจากคลัสเตอร์สถานบันเทิงย่านทองหล่อ-เอกมัย ทั้งในกลุ่มดารานักแสดงและนักการเมือง เช่นนายศักดิ์สยาม ชิดชอบ รัฐมนตรีมนตรีว่าการกระทรวงคมนาคม และเลขาธิการพรรคภูมิใจไทย,มติชน,https://www.matichonweekly.com/column/article_419253
2020-12-19,เกิดการระบาดระลอกใหม่ในตลาดแพกุ้ง จ.สมุทรสาคร ยอดผู้ติดเชื้อโควิดแรงงานต่างด้าวมีจำนวนมากถึง 548 ราย และสั่งล็อกดาวน์จังหวัดสมุทรสาคร ตั้งแต่เวลา 22.00 น.,ไทยรัฐ,https://www.thairath.co.th/scoop/1998801
2021-05-17,"จำนวนผู้ติดเชื้อแตะ 9,635 ราย เป็นผู้ติดเชื้อในทัณฑสถานมากถึง 6,853 ราย",กระทรวงสาธารณสุข,https://www.facebook.com/127034180656279/posts/6233913956634907/
2021-01-24,"สนามบินเชียงใหม่จัดงานต้อนรับให้นักท่องเที่ยวจีน โดยผู้อำนวยการท่าอากาศยานเชียงใหม่คาดการณ์ว่า ในช่วงเทศกาลตรุษจีนปีนี้จะมีผู้โดยสารชาวจีนเฉลี่ยวันละประมาณ 6,000 คน เพิ่มขึ้นจากช่วงปกติประมาณวันละ 1,000 คน",Chiang Mai News,https://www.chiangmainews.co.th/page/archives/1242631/
2020-03-08,เพจเฟซบุ๊กแหม่มโพธิ์ดำเผยแพร่ข้อมูลว่า มีคนสนิทผู้ติดตามรัฐมนตรีคนหนึ่งมีหน้ากากอนามัยในสต็อกหลายล้านชิ้นพร้อมเผยแพร่ภาพและคลิปวิดีโอหลักฐาน โดยในวันถัดมา ร.อ.ธรรมนัส พรหมเผ่า (รมช.เกษตรและสหกรณ์) ยืนยันว่าไม่มีความเกี่ยวข้องกับ นายศรสุวีร์ ภู่รวีร์รัศวัชรี ที่มีข้อมูลว่ากักตุนและขายหน้ากากอนามัย,PostToday,https://www.posttoday.com/social/general/617089
2021-06-27,เวลา 01:20 ราชกิจจานุเบกษา เผยแพร่ข้อกําหนดประกาศกึ่งล็อกดาวน์ กทม.-ปริมณฑล และ 4 จังหวัดชายแดนใต้ ห้ามกินในร้าน-ห้างปิด 3 ทุ่ม-ห้ามรวมกลุ่มสังสรรค์ มีผลในวันถัดไป,The Standard,https://www.facebook.com/thestandardth/posts/2781444572148417
2021-07-07,สำนักข่าว Nikkei ได้จัดอันดับประเทศที่ฟื้นตัวจากโควิดได้ดีที่สุด โดยดูจากเศรษฐกิจ จำนวนวัคซีน และการจัดการต่างๆ ซึ่งประเทศไทยอยู่ในอันดับที่ 119 จาก 120 กว่าประเทศ,Nikkei,https://asia.nikkei.com/Spotlight/The-Big-Story/Nikkei-COVID-19-Recovery-Index
2021-07-09,ศบค. แถลงมาตรการล็อกดาวน์ ประกาศเคอร์ฟิว คุมเข้มพื้นที่ 10 จังหวัด เริ่มใช้ 12 กรกฎาคมนี้ และขยาย พ.ร.ก.ฉุกเฉินทั่วประเทศ ถึง 30 กันยายน,The Momentum,https://www.facebook.com/themomentumco/posts/2737965883161765
2021-12-01,ศบค. ประกาศปิดรับผู้เดินทางมาจาก 8 ประเทศกลุ่มเสี่ยงสูงในแอฟริกาที่พบการระบาดของเชื่อไวรัสโควิด-19 สายพันธุ์โอไมครอน และขอให้ผู้เดินทางจาก 8 ประเทศกลุ่มเสี่ยงทั้ง 252 คนที่อยู่ในประเทศไทยรายงานตัวให้เร็วที่สุด,บ้านเมือง,https://www.banmuang.co.th/news/politic/260852
2022-01-01,ตั้งแต่เปิดประเทศ วันที่ 1 พ.ย.-30 ธ.ค. 2564 พบผู้ติดเชื้อโอไมครอน รวม 1,145 รายและยังคงเพิ่มสูงขึ้นต่อเนื่อง ส่งผลให้ประเทศไทยติดเชื้อสายพันธุ์โอไมครอนขึ้นอันดับอันดับที่ 1 ของอาเซียน อันดับที่ 2 ของเอเชีย และที่ 15 ของโลก,คมชัดลึก,https://www.komchadluek.net/covid-19/499333
